w1,w2,w3,l1,l2,l3,ibias
20.5,1.5,42.5,1.0,2.0,1.5,1e-05
8.0,25.0,33.0,0.5,1.0,1.5,1e-05
2.0,35.5,15.0,1.0,0.5,2.0,1e-05
24.5,29.0,23.5,1.5,2.0,0.5,1.5e-05
49.0,18.5,35.5,1.5,1.0,1.5,1.5e-05
24.0,24.0,34.5,1.5,1.0,1.0,1e-05
45.5,15.0,6.5,1.5,1.0,1.5,2e-05
50.0,36.0,7.5,1.5,1.0,2.0,5e-06
3.5,9.5,31.0,1.0,0.5,1.5,2e-05
8.5,14.5,48.0,1.5,1.0,1.0,1.5e-05
6.0,3.0,34.5,2.0,0.5,1.5,1.5e-05
17.5,29.0,24.5,0.5,1.5,1.0,1.5e-05
49.5,37.0,7.0,1.0,1.5,0.5,5e-06
39.5,8.5,44.5,1.5,1.5,2.0,2e-05
25.0,28.0,31.0,1.5,1.0,1.0,1.5e-05
31.5,25.0,2.5,1.0,1.5,0.5,5e-06
25.5,26.5,32.0,0.5,1.5,1.0,1e-05
48.0,35.5,9.0,1.5,1.5,0.5,5e-06
32.5,44.0,19.0,1.0,1.5,1.5,1.5e-05
34.0,45.5,18.5,1.0,0.5,0.5,1.5e-05
11.0,43.5,29.0,1.0,1.0,1.0,1.5e-05
13.5,1.0,30.5,1.5,2.0,1.0,1e-05
10.0,35.5,43.5,1.5,1.0,1.0,1e-05
11.0,26.5,48.5,2.0,1.5,2.0,1.5e-05
11.0,14.5,19.0,1.0,0.5,1.0,5e-06
38.5,45.0,50.0,1.0,1.0,0.5,5e-06
25.5,36.0,43.0,0.5,1.5,0.5,1.5e-05
47.5,10.5,23.0,1.5,1.5,1.5,1.5e-05
26.5,30.5,43.0,1.0,1.0,0.5,2e-05
22.0,19.5,30.0,1.5,1.5,2.0,2e-05
47.5,45.0,25.5,1.0,2.0,1.0,1e-05
37.5,21.5,42.0,1.5,0.5,0.5,1e-05
38.5,19.0,3.0,1.0,2.0,2.0,1e-05
38.0,20.0,45.5,1.0,1.5,1.0,2e-05
46.0,19.0,3.5,1.0,1.5,2.0,1e-05
25.5,46.5,48.5,1.0,1.5,2.0,1.5e-05
19.0,9.0,29.5,0.5,1.0,2.0,1e-05
5.5,40.0,23.5,1.0,0.5,1.5,2e-05
5.5,3.0,16.0,1.0,2.0,1.0,5e-06
49.5,7.0,45.5,0.5,1.0,0.5,1.5e-05
10.0,19.0,8.5,1.5,1.5,1.5,2e-05
49.5,32.5,25.5,1.5,1.5,2.0,1.5e-05
45.5,31.0,43.0,1.5,2.0,1.0,2e-05
35.5,20.0,18.0,1.5,1.0,0.5,1e-05
13.0,17.5,25.5,1.5,1.5,1.0,1e-05
39.0,47.0,43.0,1.0,1.5,1.5,1.5e-05
43.5,18.5,13.5,2.0,1.5,1.0,1e-05
50.0,50.0,19.5,1.5,1.5,1.5,2e-05
37.5,13.0,33.5,1.0,1.5,1.5,2e-05
43.5,39.0,49.5,2.0,1.0,1.0,1e-05
33.0,46.5,4.0,1.5,1.0,1.5,1.5e-05
42.0,46.0,43.0,1.5,1.5,1.0,5e-06
31.5,10.0,24.0,0.5,1.5,2.0,1e-05
30.0,39.5,33.5,1.5,2.0,1.5,1.5e-05
38.5,2.5,40.5,0.5,1.5,1.5,1.5e-05
31.0,37.0,5.0,2.0,0.5,0.5,1.5e-05
10.0,7.0,39.5,1.0,1.0,1.0,1e-05
26.0,27.5,12.5,1.5,1.5,1.5,1e-05
17.5,19.5,37.0,1.0,1.5,1.5,1e-05
30.5,27.0,16.5,1.0,1.0,1.0,1e-05
3.5,41.0,5.5,1.5,2.0,1.5,2e-05
39.5,18.5,29.5,1.5,1.0,1.0,5e-06
26.5,46.0,18.5,1.0,1.5,1.5,1e-05
47.5,32.5,44.5,2.0,2.0,2.0,1.5e-05
27.5,38.0,17.0,0.5,1.0,1.5,2e-05
48.0,42.0,34.5,2.0,1.5,1.0,1e-05
47.0,9.0,35.0,1.5,0.5,1.0,1.5e-05
49.5,32.5,37.0,1.0,1.5,1.0,1e-05
28.5,33.0,34.5,1.0,1.5,1.0,1.5e-05
29.5,47.0,34.0,1.0,1.5,1.5,1e-05
49.5,47.5,7.0,1.0,2.0,1.0,1.5e-05
39.5,23.5,14.5,0.5,1.0,1.5,5e-06
23.0,8.0,32.0,2.0,0.5,1.0,1.5e-05
36.5,0.5,3.0,2.0,1.5,1.5,5e-06
7.5,28.0,21.0,1.5,1.0,0.5,5e-06
39.0,26.0,13.5,1.5,1.5,2.0,1.5e-05
11.0,10.0,38.0,2.0,2.0,2.0,2e-05
13.5,26.5,39.0,1.0,2.0,1.5,2e-05
41.0,18.0,13.5,1.0,1.0,1.0,2e-05
38.0,46.0,33.0,0.5,0.5,0.5,2e-05
26.0,38.5,20.5,2.0,1.0,2.0,1.5e-05
30.0,13.5,40.0,1.0,1.5,2.0,1.5e-05
0.5,29.0,45.5,2.0,0.5,1.0,1.5e-05
21.0,11.0,6.0,1.0,2.0,1.0,5e-06
34.5,2.5,21.0,1.5,1.5,0.5,1e-05
44.5,30.0,18.5,1.5,1.5,2.0,1.5e-05
21.0,32.0,36.0,1.0,1.0,1.0,1e-05
20.5,19.0,33.0,0.5,2.0,1.0,5e-06
1.0,23.0,7.5,1.0,2.0,1.5,1e-05
41.5,46.5,39.0,1.5,1.5,2.0,5e-06
40.0,43.5,31.0,0.5,2.0,1.5,2e-05
12.0,10.5,13.5,2.0,0.5,1.0,5e-06
3.5,28.5,44.0,1.5,1.0,1.5,2e-05
48.5,40.5,46.5,0.5,2.0,2.0,1.5e-05
20.0,20.0,46.0,1.5,1.5,1.0,1e-05
21.5,43.0,20.5,2.0,1.5,0.5,1.5e-05
16.0,5.0,24.0,1.5,1.5,2.0,5e-06
23.5,25.5,20.5,2.0,1.5,1.0,1e-05
33.0,48.0,26.0,1.0,0.5,0.5,1e-05
29.0,43.5,22.0,1.5,1.0,1.5,1.5e-05
48.5,49.0,9.0,1.0,1.0,0.5,1e-05
7.5,24.5,23.5,2.0,2.0,1.5,1.5e-05
42.0,36.0,24.0,1.0,1.0,1.5,1.5e-05
39.0,12.0,11.0,2.0,2.0,1.5,2e-05
6.0,13.5,19.5,1.0,1.5,1.5,1e-05
7.0,7.0,20.5,1.0,2.0,1.0,2e-05
5.5,4.5,49.0,2.0,1.0,0.5,1.5e-05
27.0,19.5,10.5,1.0,1.5,2.0,1.5e-05
42.0,0.5,4.0,2.0,1.5,1.0,5e-06
45.0,15.5,31.5,1.5,1.0,1.5,1e-05
40.0,22.5,44.0,0.5,1.5,0.5,2e-05
46.0,50.0,6.5,1.5,0.5,1.0,1e-05
39.0,2.0,46.5,1.0,2.0,1.5,1e-05
18.5,16.0,36.0,1.0,0.5,2.0,5e-06
0.5,28.5,10.5,1.0,0.5,2.0,5e-06
41.0,9.0,38.0,1.5,2.0,1.5,5e-06
3.5,19.0,41.0,2.0,1.5,0.5,1.5e-05
7.5,9.5,10.0,1.5,2.0,0.5,1e-05
46.5,46.0,1.0,1.0,1.0,1.0,1e-05
8.0,5.0,32.5,2.0,1.5,1.5,5e-06
16.0,9.5,43.5,0.5,1.5,1.5,1e-05
28.0,13.5,0.5,0.5,1.5,1.5,1.5e-05
18.5,8.0,26.5,1.0,1.5,0.5,1.5e-05
34.5,48.5,16.0,2.0,0.5,1.5,5e-06
17.0,44.0,21.0,1.0,1.0,0.5,1.5e-05
43.0,8.0,19.0,1.5,0.5,1.5,1.5e-05
44.0,6.0,2.5,1.0,1.0,1.0,1e-05
13.0,50.0,30.5,1.0,2.0,2.0,1e-05
21.5,44.0,27.0,1.0,1.0,2.0,2e-05
7.0,41.5,41.0,1.5,1.5,0.5,5e-06
37.5,1.0,14.0,1.0,0.5,1.0,1.5e-05
35.5,31.0,10.5,1.5,0.5,1.5,2e-05
33.5,16.0,20.0,1.5,1.5,1.0,1e-05
19.5,21.5,21.5,1.5,1.5,2.0,1e-05
48.0,23.5,13.5,1.5,1.0,0.5,1e-05
11.0,43.0,6.0,1.5,1.5,2.0,1e-05
41.5,34.0,29.5,1.5,1.0,0.5,1.5e-05
16.0,29.0,6.0,0.5,2.0,1.0,1e-05
5.5,34.5,19.0,1.0,1.0,1.0,1e-05
12.0,21.5,7.0,1.5,1.0,0.5,2e-05
42.5,31.5,17.5,1.0,1.5,1.0,1e-05
4.0,48.5,36.5,2.0,2.0,2.0,1e-05
14.5,6.0,28.0,2.0,0.5,1.5,5e-06
28.5,34.5,41.0,0.5,0.5,1.5,1e-05
46.5,28.5,1.5,1.0,1.0,1.0,1.5e-05
33.0,44.5,8.0,1.0,1.0,1.0,1e-05
17.5,38.5,23.5,0.5,1.0,1.5,2e-05
14.0,36.5,14.0,1.0,0.5,2.0,1e-05
13.5,45.5,46.0,1.0,1.5,1.5,1.5e-05
37.5,20.5,21.5,1.0,1.5,1.5,2e-05
31.0,32.0,38.0,1.0,1.0,1.0,2e-05
9.0,1.5,33.0,2.0,0.5,1.0,1.5e-05
46.0,33.5,9.5,0.5,1.0,1.0,1.5e-05
2.5,40.0,40.5,1.5,1.0,1.0,1e-05
8.5,33.0,43.5,2.0,1.5,1.5,1e-05
3.0,25.5,5.0,1.0,1.5,1.0,2e-05
14.5,9.5,4.5,1.0,0.5,0.5,5e-06
22.0,26.0,18.5,0.5,0.5,1.5,1.5e-05
36.5,47.5,5.0,0.5,1.5,0.5,5e-06
15.5,43.0,42.5,1.0,1.5,0.5,2e-05
40.5,21.5,46.5,0.5,1.0,1.5,1.5e-05
32.0,50.0,4.5,1.0,1.5,1.5,1e-05
10.5,42.5,43.5,1.5,2.0,2.0,1e-05
23.0,6.0,3.5,1.0,0.5,1.0,1e-05
19.0,47.5,28.0,1.5,0.5,0.5,1e-05
44.0,31.5,26.5,1.0,1.5,1.5,1e-05
49.0,34.5,38.5,2.0,1.5,1.5,1e-05
30.5,48.5,42.0,1.5,1.0,2.0,1.5e-05
8.5,47.0,9.5,1.5,1.5,1.0,2e-05
44.0,24.0,17.5,0.5,1.0,1.5,5e-06
1.5,38.0,29.5,1.5,2.0,2.0,2e-05
41.5,12.5,5.5,0.5,1.5,1.5,1e-05
45.5,46.0,5.5,1.5,1.0,0.5,1.5e-05
24.0,23.0,27.0,1.5,1.5,1.5,1e-05
8.5,40.5,9.5,0.5,1.0,1.5,1e-05
40.0,35.5,46.5,1.0,1.0,2.0,1e-05
14.0,45.5,36.0,2.0,1.5,2.0,5e-06
29.5,37.5,26.0,1.0,1.0,2.0,5e-06
10.0,42.5,42.0,1.5,1.0,0.5,2e-05
49.5,2.0,41.5,1.5,0.5,1.5,1.5e-05
14.5,40.0,20.0,1.5,1.5,1.0,1e-05
28.0,41.5,37.5,1.5,1.0,1.0,1.5e-05
19.5,48.0,25.5,2.0,0.5,0.5,5e-06
16.0,33.0,9.5,2.0,1.5,1.5,2e-05
25.0,3.0,29.5,0.5,1.5,1.0,5e-06
47.0,2.0,14.5,0.5,0.5,1.0,5e-06
4.0,4.5,12.0,1.0,1.5,2.0,2e-05
15.0,48.0,37.5,1.5,1.0,0.5,1e-05
36.0,4.5,42.5,1.5,0.5,1.0,5e-06
47.0,41.0,17.0,0.5,1.5,2.0,1.5e-05
21.5,37.0,17.5,2.0,1.0,1.5,2e-05
9.0,41.0,30.5,2.0,2.0,1.5,1.5e-05
4.5,22.5,41.0,2.0,1.5,2.0,1e-05
27.0,26.5,9.5,1.5,1.5,1.5,1e-05
38.0,15.5,11.5,0.5,2.0,2.0,1e-05
2.5,16.0,27.5,0.5,1.0,1.0,5e-06
31.5,9.5,43.0,2.0,2.0,0.5,1e-05
23.0,12.5,13.0,2.0,2.0,1.5,5e-06
13.0,6.0,14.0,2.0,1.0,1.5,1e-05
40.0,37.5,2.5,1.5,1.5,2.0,2e-05
44.0,37.0,18.5,1.0,1.5,1.0,1e-05
5.0,43.0,25.5,0.5,2.0,2.0,1.5e-05
35.0,21.0,36.5,1.5,0.5,2.0,1.5e-05
5.0,46.0,21.5,1.5,1.5,1.5,5e-06
4.5,40.0,16.5,1.0,1.0,2.0,1.5e-05
6.0,8.5,32.5,1.5,2.0,2.0,2e-05
35.0,24.0,13.0,2.0,0.5,1.0,1.5e-05
13.0,30.5,16.0,1.5,1.0,1.0,2e-05
33.0,36.5,2.5,1.5,0.5,1.0,1.5e-05
18.0,8.0,24.5,1.5,1.0,0.5,1.5e-05
41.0,49.0,49.0,2.0,0.5,2.0,1e-05
48.5,19.5,1.5,1.0,1.5,1.0,5e-06
41.5,20.0,4.5,1.5,1.5,1.5,5e-06
8.5,42.5,50.0,1.0,0.5,0.5,1.5e-05
4.0,5.5,8.0,1.0,0.5,1.0,1e-05
43.0,32.0,34.0,1.0,0.5,2.0,1.5e-05
37.0,15.0,19.5,2.0,1.0,1.0,1e-05
8.0,43.0,45.0,1.5,2.0,1.5,1e-05
29.0,25.5,8.0,0.5,1.0,1.0,1e-05
40.5,37.5,15.5,1.0,1.5,1.0,1.5e-05
48.5,15.0,30.0,1.0,1.5,1.0,2e-05
48.0,6.5,35.5,1.5,1.0,1.0,1.5e-05
34.5,31.0,11.0,1.0,1.0,1.0,1.5e-05
43.0,23.5,31.5,1.5,1.5,1.0,2e-05
21.0,12.0,26.0,0.5,1.5,2.0,1e-05
24.0,37.0,3.0,1.5,1.0,1.0,1.5e-05
7.0,49.5,22.0,1.5,2.0,0.5,5e-06
19.5,22.5,32.0,1.0,0.5,1.5,1.5e-05
28.0,6.5,44.0,0.5,1.0,1.5,5e-06
39.5,11.5,47.5,0.5,1.0,2.0,1.5e-05
31.5,49.0,18.0,1.0,1.5,1.5,2e-05
7.5,32.5,37.5,1.0,1.5,1.5,5e-06
14.0,42.5,37.5,0.5,0.5,1.5,1.5e-05
38.0,4.0,21.0,1.5,1.5,1.0,1.5e-05
30.0,7.5,43.0,1.5,1.5,1.5,1.5e-05
43.5,7.5,47.5,1.5,2.0,1.5,1.5e-05
31.0,19.0,26.0,1.0,1.0,1.5,1e-05
22.5,41.0,40.5,1.0,2.0,1.0,1e-05
40.5,40.0,28.5,0.5,2.0,1.5,5e-06
45.0,21.5,41.0,2.0,1.5,1.0,1e-05
16.5,2.0,46.0,0.5,2.0,1.5,2e-05
16.0,45.5,24.0,0.5,1.5,1.5,1.5e-05
43.0,20.5,25.5,1.5,2.0,2.0,1.5e-05
4.0,31.0,32.0,1.5,1.5,1.5,1.5e-05
26.5,11.5,45.0,0.5,2.0,2.0,1.5e-05
3.5,46.0,14.0,1.5,1.5,1.0,1.5e-05
16.0,33.5,39.0,2.0,1.5,1.5,1.5e-05
30.0,37.0,8.5,0.5,1.0,1.0,1e-05
44.0,38.5,8.5,1.5,0.5,0.5,1e-05
41.0,36.5,22.0,1.5,1.0,1.0,5e-06
9.0,21.0,3.5,1.0,1.5,1.0,1.5e-05
18.0,31.5,39.0,1.5,2.0,1.0,1e-05
43.0,47.0,41.0,1.0,2.0,1.0,1.5e-05
41.0,31.5,34.0,1.5,2.0,1.0,1e-05
33.5,27.0,25.5,1.5,1.5,1.5,2e-05
35.0,22.0,40.0,2.0,1.5,1.0,5e-06
2.0,34.0,45.5,0.5,1.5,1.0,1.5e-05
44.5,28.0,42.0,1.0,1.0,1.0,1.5e-05
27.5,30.0,2.5,1.5,0.5,1.0,1.5e-05
48.5,30.5,4.0,1.5,2.0,1.0,5e-06
41.5,33.5,9.0,1.0,0.5,1.0,1.5e-05
2.5,37.0,44.5,1.5,2.0,1.5,2e-05
22.0,3.5,13.0,1.5,1.5,1.5,5e-06
5.5,2.5,29.0,1.5,1.0,0.5,1e-05
4.0,44.0,46.0,0.5,0.5,1.0,2e-05
27.0,1.5,22.5,1.0,0.5,2.0,1e-05
13.0,18.5,42.0,1.5,1.5,1.0,2e-05
27.5,19.5,32.5,1.5,2.0,1.0,1e-05
43.0,48.0,17.5,1.5,1.5,1.5,5e-06
32.0,9.0,15.0,1.5,1.5,2.0,1.5e-05
29.0,36.5,6.0,1.0,2.0,2.0,1.5e-05
3.0,30.0,1.0,2.0,1.0,2.0,1e-05
25.0,6.5,32.0,0.5,1.5,1.5,1e-05
41.0,46.5,49.5,0.5,1.0,1.0,2e-05
3.5,28.0,26.0,1.0,1.0,1.0,5e-06
29.5,21.0,29.0,2.0,1.5,1.5,1.5e-05
4.5,33.5,6.5,1.5,0.5,1.0,5e-06
36.5,31.5,23.5,1.0,2.0,1.0,5e-06
36.5,37.5,12.5,1.5,1.0,1.5,1.5e-05
15.0,44.5,8.0,1.5,2.0,1.5,5e-06
25.5,27.5,4.5,2.0,0.5,0.5,2e-05
32.0,24.5,21.0,0.5,0.5,0.5,1.5e-05
42.5,15.5,15.0,1.0,1.5,1.0,1e-05
28.5,3.5,8.5,2.0,1.0,1.5,1e-05
32.5,45.0,26.0,1.5,0.5,1.5,1.5e-05
27.5,13.0,11.0,2.0,1.0,1.5,1e-05
2.5,39.5,21.5,1.5,0.5,0.5,5e-06
25.5,24.0,33.0,1.5,1.0,1.5,1.5e-05
20.0,34.0,34.0,0.5,1.0,1.5,1.5e-05
38.5,15.0,32.5,1.5,1.5,1.0,5e-06
12.0,20.5,27.0,1.0,1.0,1.0,5e-06
8.0,22.0,18.5,1.0,1.0,1.0,1.5e-05
42.5,14.5,47.0,1.5,1.0,0.5,1e-05
3.0,26.0,8.5,1.5,0.5,2.0,5e-06
34.0,14.0,42.0,1.0,1.5,1.0,2e-05
11.5,49.0,14.0,1.0,1.5,1.0,1.5e-05
18.5,13.5,42.0,1.5,2.0,1.0,2e-05
5.0,11.0,43.5,1.5,1.0,1.5,1.5e-05
1.0,29.5,17.0,1.5,2.0,0.5,1.5e-05
49.5,45.0,16.5,0.5,2.0,1.0,1e-05
33.0,49.0,3.5,1.0,1.0,0.5,1e-05
46.0,13.0,19.5,1.5,1.5,1.0,1e-05
28.0,14.0,46.5,1.0,1.0,0.5,2e-05
13.0,30.5,29.5,1.5,1.0,0.5,1.5e-05
32.5,7.5,2.5,2.0,1.0,1.5,1e-05
50.0,32.0,34.5,1.0,1.5,1.5,1e-05
10.0,37.5,47.5,1.5,1.5,0.5,1.5e-05
24.5,42.0,19.0,1.5,1.0,1.0,1e-05
35.0,23.5,29.0,1.5,1.0,1.5,1e-05
49.0,1.0,31.0,1.0,1.0,0.5,1.5e-05
49.0,10.0,32.5,1.0,1.5,1.0,2e-05
50.0,3.0,41.5,1.5,1.5,1.5,5e-06
6.0,40.5,29.5,1.5,0.5,1.0,1e-05
9.0,36.5,44.0,1.0,0.5,1.0,2e-05
15.5,10.0,8.5,1.5,1.5,0.5,1e-05
36.0,3.5,29.0,1.0,2.0,1.0,1.5e-05
16.5,1.0,44.5,1.5,1.5,1.0,2e-05
40.5,20.5,24.0,2.0,1.0,1.0,1.5e-05
25.5,35.0,9.0,1.0,1.5,1.5,1e-05
40.5,47.5,32.0,1.5,2.0,0.5,1e-05
17.0,4.0,15.5,0.5,1.5,1.5,5e-06
6.0,48.0,10.0,0.5,1.5,1.0,5e-06
34.5,26.5,34.0,1.0,1.0,1.0,1.5e-05
27.0,14.0,33.5,0.5,1.5,1.5,1.5e-05
30.0,22.0,41.0,0.5,1.0,1.0,1.5e-05
30.0,1.5,24.0,2.0,1.0,1.5,2e-05
18.0,33.5,14.5,1.5,1.0,2.0,1e-05
18.0,38.5,7.5,1.0,1.5,1.5,2e-05
17.0,24.5,39.5,1.5,1.5,1.5,1.5e-05
15.0,23.0,16.5,2.0,0.5,0.5,1e-05
7.0,27.5,25.0,1.5,1.0,1.0,5e-06
24.5,32.0,45.0,0.5,2.0,1.0,1.5e-05
9.5,25.0,29.0,1.5,2.0,1.0,2e-05
38.5,1.0,50.0,1.5,2.0,1.5,2e-05
28.0,5.0,7.5,1.0,1.5,1.5,1e-05
26.0,27.0,31.0,1.5,0.5,2.0,1.5e-05
18.5,32.0,1.5,0.5,1.0,0.5,2e-05
42.0,47.5,19.0,1.5,0.5,0.5,1e-05
49.0,39.5,38.0,1.5,0.5,1.0,1e-05
40.0,47.5,5.0,1.5,0.5,1.0,1.5e-05
44.0,15.5,34.0,2.0,1.0,0.5,1e-05
36.0,30.0,1.0,0.5,1.0,1.0,1.5e-05
2.0,47.5,22.5,2.0,1.0,1.5,1e-05
20.0,7.0,20.0,1.5,1.5,2.0,1.5e-05
3.0,37.5,47.0,1.5,0.5,1.5,1e-05
35.0,16.5,34.0,1.5,1.0,1.0,2e-05
33.0,22.0,40.5,2.0,0.5,1.0,1.5e-05
45.5,10.0,30.5,1.0,0.5,1.5,1.5e-05
14.5,7.5,47.0,0.5,2.0,1.0,2e-05
16.0,7.0,2.5,1.5,1.5,2.0,1e-05
41.0,16.5,19.0,1.0,1.0,1.5,1e-05
21.0,11.0,4.0,1.0,2.0,1.5,1e-05
20.0,15.5,20.0,2.0,1.0,1.5,1e-05
48.5,31.0,43.5,1.5,0.5,2.0,1e-05
47.5,36.0,31.5,1.0,0.5,1.5,1.5e-05
1.5,43.5,37.5,1.5,1.5,2.0,1e-05
48.5,39.5,38.5,1.0,1.0,1.0,2e-05
2.5,2.0,31.0,2.0,1.5,2.0,1.5e-05
20.0,2.5,36.5,0.5,1.0,2.0,1e-05
48.5,8.5,35.0,0.5,2.0,1.0,1.5e-05
37.5,35.0,32.0,2.0,1.5,2.0,1e-05
39.5,40.0,37.5,0.5,1.5,1.5,1e-05
36.0,16.5,43.0,2.0,0.5,0.5,2e-05
17.5,16.5,48.0,0.5,1.0,2.0,2e-05
47.0,14.5,30.0,1.5,1.5,1.5,1.5e-05
47.0,44.5,27.0,0.5,1.0,1.0,1.5e-05
18.0,25.0,36.0,1.0,1.0,0.5,5e-06
29.5,4.5,24.5,1.5,1.0,1.5,1e-05
30.5,46.0,20.5,1.0,1.5,1.0,5e-06
27.0,9.5,6.5,1.0,1.0,1.0,2e-05
25.0,13.0,4.0,1.0,1.0,0.5,5e-06
26.5,49.0,33.5,1.5,1.0,1.0,1e-05
5.5,23.5,28.0,1.5,1.0,1.0,1e-05
5.0,4.5,28.5,1.0,1.0,1.0,2e-05
19.0,11.0,14.0,1.0,1.5,1.5,2e-05
19.5,11.0,38.0,1.5,2.0,2.0,1.5e-05
30.5,49.0,37.0,1.0,0.5,2.0,1.5e-05
21.5,3.0,28.5,1.5,1.0,1.5,1.5e-05
28.0,49.5,18.5,1.5,2.0,1.0,2e-05
47.0,1.0,31.0,1.0,2.0,2.0,2e-05
48.0,28.0,17.0,0.5,1.5,2.0,5e-06
22.0,25.5,10.5,1.5,0.5,1.5,5e-06
41.5,10.0,16.5,0.5,2.0,2.0,5e-06
39.0,3.5,11.5,0.5,0.5,0.5,1e-05
21.5,33.0,8.0,2.0,1.5,0.5,1.5e-05
46.5,31.0,1.0,1.5,1.5,1.5,1.5e-05
14.0,47.5,38.5,2.0,1.5,0.5,1.5e-05
12.5,24.5,33.0,1.5,1.0,1.5,1.5e-05
15.5,26.5,12.5,2.0,1.5,0.5,1.5e-05
23.0,42.0,36.0,1.0,1.0,1.0,1e-05
27.5,8.0,40.0,2.0,1.0,1.0,1.5e-05
45.0,11.5,49.0,1.5,2.0,1.5,1.5e-05
32.5,5.5,27.5,1.0,0.5,2.0,1e-05
31.5,48.0,5.0,1.0,2.0,1.5,1e-05
44.5,36.5,31.0,1.5,1.5,1.5,1.5e-05
42.5,25.0,34.5,1.0,1.5,1.0,1e-05
44.5,10.0,6.5,0.5,1.5,1.5,1e-05
8.0,15.0,28.5,0.5,1.0,1.5,1.5e-05
38.5,48.5,10.0,1.5,2.0,2.0,2e-05
48.5,5.5,41.0,0.5,1.5,1.5,2e-05
21.5,1.5,5.5,1.5,1.5,1.0,1e-05
26.5,24.5,40.5,1.0,1.5,1.0,1.5e-05
42.0,16.5,21.5,1.5,0.5,2.0,1e-05
3.0,4.5,48.0,1.5,1.0,1.5,2e-05
1.0,48.5,3.0,1.0,1.5,1.0,5e-06
7.0,12.0,23.5,2.0,1.0,1.0,1.5e-05
4.5,22.0,14.5,1.0,0.5,1.0,1e-05
