w1,w2,w3,w4,w5,l1,l2,l3,l4,l5,cc,cr,ibias
19.35,47.59,36.87,30.33,8.645,0.734,0.5871,1.799,1.402,1.562,1.391e-13,97010.0,1.832e-05
11.4,9.909,9.987,15.91,26.71,1.148,0.9368,1.418,0.7092,0.9382,7.961e-13,45880.0,1.785e-05
10.78,26.2,30.03,3.276,30.77,0.7558,0.5976,1.923,1.948,1.713,6.788e-13,10220.0,1.684e-05
22.57,6.98,25.26,2.685,45.56,0.8882,1.494,0.9676,1.28,1.32,4.512e-13,96970.0,1.775e-05
47.04,44.85,30.3,46.17,5.336,0.794,0.5678,0.988,1.083,0.907,1.675e-12,36000.0,1.281e-05
27.59,7.905,40.31,4.653,49.36,1.658,0.7981,0.5083,1.723,1.56,1.485e-12,77240.0,1.074e-05
18.56,6.678,43.29,31.54,17.21,0.5953,0.9665,0.9878,1.594,1.456,1.786e-12,47490.0,1.12e-05
35.95,38.28,28.5,38.78,25.2,1.284,1.141,0.5381,0.6618,0.5471,1.309e-12,31780.0,1.509e-05
45.47,13.22,21.11,38.02,12.21,0.6155,0.9346,0.7418,1.895,1.712,1.303e-12,87210.0,1.804e-05
10.14,44.74,27.43,40.56,44.91,0.977,0.6651,0.8419,1.141,1.727,1.735e-12,1192.0,1.511e-05
21.45,11.88,6.873,17.54,47.2,0.9848,1.278,1.555,1.045,1.958,1.929e-12,25550.0,1.497e-05
15.74,14.96,2.807,30.87,25.63,0.5772,0.918,1.862,0.8593,0.7173,1.03e-12,98570.0,1.242e-05
33.93,38.32,12.64,36.68,19.02,1.448,1.45,1.304,0.6354,1.753,7.095e-13,19060.0,1.041e-05
29.95,34.2,1.813,26.09,12.1,1.468,0.7615,1.536,1.08,1.905,3.613e-13,34440.0,1.113e-05
46.31,43.99,13.64,33.34,41.04,1.333,1.294,0.8628,0.6397,1.846,1.811e-12,63490.0,1.339e-05
18.11,36.57,44.96,44.47,39.21,1.463,0.6262,0.7424,1.848,1.41,1.175e-13,10600.0,1.664e-05
1.248,8.88,27.89,34.9,32.95,0.8364,1.568,0.8559,0.9881,1.62,1.334e-12,85000.0,1.658e-05
28.85,5.59,19.02,13.99,12.96,1.96,1.09,1.838,1.447,1.692,1.055e-12,57900.0,1.493e-05
48.37,48.22,42.8,15.43,19.87,1.777,0.9754,0.7542,1.335,1.904,1.422e-12,57220.0,1.097e-05
31.14,49.51,7.864,26.4,43.99,1.611,1.546,1.554,1.039,0.9404,1.638e-12,81110.0,1.867e-05
45.75,26.06,25.57,40.12,32.85,1.553,1.694,1.835,1.007,1.063,2.786e-13,58040.0,1.036e-05
23.81,27.59,15.04,29.95,2.495,0.556,1.734,1.04,0.6906,1.283,1.563e-12,21970.0,1.623e-05
5.182,3.532,27.04,27.49,32.23,1.589,1.964,1.274,0.9844,1.693,6.146e-13,44180.0,1.078e-05
2.242,48.17,41.96,35.1,21.04,0.7599,0.7347,0.8754,1.324,1.572,1.354e-12,28350.0,1.955e-05
37.16,28.16,30.97,21.56,13.14,1.034,1.637,0.5216,0.6741,0.569,1.774e-13,85620.0,1.704e-05
24.23,5.794,25.09,24.2,9.487,1.151,1.098,1.424,1.453,0.568,8.118e-13,62770.0,1.503e-05
47.13,19.92,48.1,45.36,10.59,0.604,0.6512,0.5273,0.6417,1.525,2.353e-13,32240.0,1.845e-05
2.14,40.91,14.81,6.79,35.14,1.443,1.816,1.603,1.705,0.9231,4.371e-13,75190.0,1.807e-05
49.53,21.22,19.23,39.04,17.7,1.896,1.788,1.143,1.626,1.632,2.959e-13,90300.0,1.505e-05
15.37,17.1,33.95,37.87,39.79,1.684,0.6368,1.242,0.5863,1.324,9.389e-13,88830.0,1.351e-05
6.736,8.007,38.31,31.29,5.955,0.6262,1.551,0.6091,1.733,1.559,2.546e-13,8941.0,1.987e-05
19.34,19.16,40.83,47.42,49.31,1.63,1.064,0.6253,1.666,1.338,9.06e-13,90680.0,1.111e-05
11.96,48.2,1.596,48.52,3.115,1.837,1.292,1.989,0.6107,1.331,1.942e-12,52550.0,1.629e-05
35.09,23.27,31.75,29.63,45.16,0.5682,0.9214,1.926,1.835,1.183,1.278e-12,28100.0,1.188e-05
23.72,18.31,29.6,4.809,48.75,1.979,1.547,1.304,0.9643,1.721,1.401e-12,16680.0,1.911e-05
41.3,47.54,36.56,31.06,21.49,1.899,1.799,0.5678,0.5396,1.065,1.64e-12,98730.0,1.15e-05
30.11,19.66,48.53,42.26,42.08,1.203,1.122,0.9101,0.5846,1.797,1.645e-12,99970.0,1.997e-05
28.22,38.68,47.29,42.63,13.12,1.176,0.6937,1.931,1.409,0.843,1.376e-12,62000.0,1.358e-05
6.564,33.91,26.5,38.84,26.49,1.778,1.328,1.341,1.815,1.105,3.546e-13,3364.0,1.755e-05
31.4,35.5,11.44,7.682,1.713,1.026,1.385,1.088,1.156,1.856,7.617e-13,51640.0,1.784e-05
20.43,31.48,43.26,47.53,8.207,1.89,1.238,0.8874,1.189,1.97,1.036e-12,33210.0,1.633e-05
12.77,4.717,7.315,7.274,8.443,0.7082,1.461,0.7728,1.019,1.845,1.001e-12,66920.0,1.172e-05
10.42,3.003,9.278,14.65,9.674,0.6331,0.681,1.191,0.8095,1.046,1.056e-12,69190.0,1.039e-05
40.17,31.77,5.006,43.81,46.12,0.5916,0.9153,1.709,1.622,0.7768,4.978e-13,37360.0,1.485e-05
31.29,19.08,23.66,37.63,2.797,0.8787,1.57,1.843,1.268,1.298,3.036e-13,45020.0,1.533e-05
12.88,14.19,19.49,1.983,16.78,0.8172,0.9912,0.6796,1.836,1.39,1.39e-12,79020.0,1.498e-05
6.5,34.0,27.0,39.0,26.5,2.0,1.5,1.5,2.0,1.0,4e-13,3500.0,1e-05
6.5,8.0,38.5,35.5,33.5,0.5,1.5,1.5,1.5,1.5,3e-13,9000.0,2e-05
46.0,48.0,25.5,40.5,3.0,1.5,1.5,2.0,1.0,1.5,3e-13,58000.0,1e-05
18.5,7.0,26.0,32.0,17.0,0.5,1.0,1.0,1.5,1.5,1.8e-12,46500.0,1e-05
21.5,20.5,7.0,42.5,42.0,1.0,1.5,1.0,0.5,2.0,1.6e-12,25000.0,2e-05
28.0,19.0,47.5,45.5,10.5,0.5,0.5,2.0,0.5,1.5,1.4e-12,32000.0,2e-05
41.5,47.5,36.5,31.0,21.5,2.0,2.0,0.5,0.5,1.0,1.6e-12,98500.0,1e-05
24.5,21.0,24.0,39.0,7.0,1.0,1.5,1.0,1.5,1.5,8e-13,90500.0,1e-05
47.0,16.5,44.5,46.5,5.5,1.0,0.5,1.0,1.0,2.0,1.2e-12,63500.0,1e-05
37.0,28.0,31.0,14.5,10.0,1.0,1.5,1.0,1.0,0.5,2e-13,85500.0,1e-05
14.0,49.0,43.0,1.5,20.0,1.0,1.0,1.0,1.5,1.5,1.4e-12,57000.0,1e-05
30.0,19.5,48.5,35.5,42.0,1.0,1.0,1.0,2.0,2.0,1.6e-12,100000.0,2e-05
40.0,44.5,5.0,44.0,46.0,1.5,1.0,1.5,1.5,1.0,5e-13,37500.0,1e-05
24.5,6.0,25.0,24.0,9.5,1.0,1.0,1.5,2.0,1.0,8e-13,63000.0,2e-05
20.5,31.5,27.0,47.5,32.5,2.0,1.0,1.0,1.0,2.0,1e-12,33000.0,2e-05
42.5,47.5,36.5,37.5,21.5,2.0,2.0,2.0,0.5,1.0,3e-13,98500.0,1e-05
48.5,48.0,40.5,15.5,20.0,2.0,1.0,1.0,1.5,2.0,1.4e-12,57000.0,1e-05
2.0,48.0,41.5,31.0,22.0,1.0,1.5,1.0,1.0,1.5,1.4e-12,78000.0,2e-05
11.5,45.0,30.5,46.0,5.5,1.0,0.5,1.0,1.0,1.0,1.7e-12,74000.0,1e-05
36.0,38.5,28.5,30.5,25.5,0.5,1.0,0.5,1.0,0.5,1.3e-12,32000.0,2e-05
23.5,36.5,12.0,5.0,48.5,2.0,1.5,1.0,1.0,1.5,1.4e-12,16500.0,2e-05
10.5,36.5,14.5,2.0,32.5,1.0,2.0,2.0,2.0,1.0,1e-13,93000.0,2e-05
5.0,3.0,27.0,27.5,5.0,1.5,2.0,0.5,1.0,1.5,6e-13,45500.0,1e-05
12.0,26.0,1.5,48.5,33.0,2.0,1.5,2.0,0.5,1.0,1.9e-12,52500.0,2e-05
26.0,6.5,43.0,2.0,45.5,1.0,1.5,1.0,1.5,1.5,5e-13,98000.0,2e-05
29.5,12.0,48.5,17.5,47.0,1.0,1.0,1.5,1.0,2.0,1.9e-12,99500.0,1e-05
47.5,38.5,48.0,42.5,13.0,1.0,0.5,0.5,1.5,1.0,2e-13,62000.0,1e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1.3e-12,32000.0,2e-05
15.5,15.0,3.0,31.0,25.5,0.5,1.0,2.0,1.0,0.5,1e-12,98500.0,1e-05
10.5,3.0,9.5,21.5,13.0,0.5,0.5,0.5,0.5,1.0,1.1e-12,69000.0,2e-05
47.0,13.5,19.5,16.0,18.5,2.0,1.0,0.5,2.0,2.0,1.4e-12,79500.0,1e-05
47.0,20.0,48.0,45.5,43.5,0.5,0.5,0.5,0.5,1.5,1e-13,32000.0,2e-05
45.5,13.0,21.5,42.5,12.5,0.5,1.0,0.5,0.5,1.5,1.3e-12,87000.0,2e-05
2.0,36.5,15.0,6.5,32.5,1.0,2.0,2.0,1.5,1.0,1e-13,75500.0,1e-05
46.5,31.5,13.5,33.5,41.0,0.5,1.5,1.0,0.5,2.0,1.8e-12,63500.0,1e-05
35.0,23.5,32.0,29.5,45.0,0.5,1.0,2.0,1.5,0.5,1.3e-12,28000.0,1e-05
22.5,7.0,28.5,5.0,45.5,1.0,0.5,1.0,1.5,1.5,5e-13,97000.0,2e-05
1.0,9.0,45.0,34.0,8.5,1.0,1.5,1.0,1.0,1.5,1.3e-12,85000.0,2e-05
31.0,19.0,26.0,31.0,3.0,1.0,1.5,0.5,1.5,1.5,1.6e-12,45000.0,2e-05
29.0,5.5,19.0,14.0,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,58000.0,1e-05
31.0,49.5,8.5,26.5,43.5,1.5,0.5,1.5,1.5,1.0,1.6e-12,31500.0,2e-05
45.0,3.0,9.5,15.0,9.5,0.5,0.5,1.0,1.0,1.0,1.1e-12,35500.0,1e-05
15.5,15.0,3.0,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1e-12,98500.0,1e-05
6.0,48.0,2.0,26.0,22.0,1.5,1.5,1.5,1.0,2.0,4e-13,37000.0,1e-05
47.0,4.0,7.5,46.5,8.5,0.5,1.5,1.0,1.0,2.0,1e-12,67000.0,1e-05
24.5,21.0,24.0,34.0,7.0,1.0,1.5,1.0,1.5,1.5,8e-13,90500.0,1e-05
11.0,47.5,35.5,2.5,35.0,1.5,2.0,1.5,0.5,1.0,2e-13,98500.0,1e-05
34.0,38.5,27.0,39.0,25.0,1.5,1.5,1.5,0.5,0.5,1.3e-12,19000.0,2e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1.9e-12,32000.0,1e-05
35.5,38.5,28.5,30.5,25.0,1.5,1.0,0.5,0.5,0.5,1e-12,37000.0,2e-05
48.0,5.5,18.5,13.5,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,58000.0,1e-05
47.0,13.5,19.5,16.0,12.0,2.0,1.0,0.5,2.0,2.0,1.4e-12,79500.0,1e-05
10.5,3.0,9.5,21.5,40.0,1.5,0.5,1.5,0.5,1.0,1.1e-12,88500.0,1e-05
21.0,7.0,25.5,40.0,45.5,1.0,1.5,1.0,1.5,1.5,5e-13,97000.0,1e-05
28.0,19.0,47.5,45.5,10.5,2.0,0.5,2.0,0.5,1.5,1.4e-12,32500.0,1e-05
10.5,3.0,9.5,37.0,19.0,0.5,0.5,1.0,0.5,1.0,7e-13,69000.0,1e-05
2.0,48.0,42.0,35.0,21.0,1.0,0.5,1.0,1.5,1.5,1.4e-12,28500.0,2e-05
24.5,21.0,14.5,39.0,7.0,1.0,1.5,1.0,2.0,1.0,8e-13,93000.0,2e-05
15.5,4.0,27.0,27.5,32.0,1.5,1.0,1.5,1.0,0.5,6e-13,44000.0,1e-05
39.5,34.0,1.0,25.5,12.0,1.5,1.0,1.5,0.5,2.0,1.6e-12,34500.0,1e-05
27.5,47.5,36.5,4.0,21.5,1.5,2.0,2.0,0.5,1.0,3e-13,78000.0,1e-05
30.0,19.5,10.0,42.0,42.0,1.0,1.0,1.0,0.5,2.0,1.6e-12,100000.0,2e-05
46.5,44.0,8.5,33.5,47.0,1.5,1.5,1.0,0.5,2.0,1.9e-12,64500.0,1e-05
20.5,31.5,27.0,47.5,32.5,1.0,0.5,1.0,1.0,1.0,1e-12,33000.0,2e-05
35.0,2.5,11.0,21.5,24.5,0.5,1.0,0.5,0.5,0.5,1.1e-12,32000.0,2e-05
47.0,48.0,30.5,46.0,19.5,1.0,0.5,1.0,1.5,1.0,1.7e-12,36000.0,1e-05
30.5,9.5,10.0,16.0,45.5,0.5,1.0,2.0,0.5,1.0,8e-13,46000.0,1e-05
30.0,34.0,41.5,31.0,12.0,1.0,1.0,1.0,1.0,1.5,1.4e-12,75500.0,2e-05
41.0,41.0,16.0,31.0,21.5,2.0,2.0,0.5,2.0,1.0,1.6e-12,96000.0,2e-05
36.0,38.5,14.0,36.5,19.0,1.5,1.0,0.5,0.5,2.0,7e-13,32000.0,1e-05
29.5,12.0,48.5,17.5,47.0,1.0,1.0,1.5,1.0,2.0,1.3e-12,99500.0,2e-05
14.5,15.0,3.0,39.0,25.5,0.5,1.0,2.0,1.0,0.5,1.3e-12,100000.0,1e-05
28.5,45.0,30.5,46.5,5.5,0.5,0.5,1.0,1.0,1.0,1.7e-12,36000.0,1e-05
6.5,34.0,26.5,39.0,26.5,2.0,1.5,1.5,2.0,1.0,4e-13,5500.0,2e-05
15.5,17.5,34.0,38.0,13.0,0.5,0.5,0.5,0.5,1.5,9e-13,69000.0,2e-05
45.5,26.0,25.5,3.0,33.0,1.5,1.5,2.0,1.0,1.0,3e-13,58000.0,2e-05
48.5,48.0,42.5,15.5,20.0,0.5,1.0,1.0,1.5,2.0,1.3e-12,57500.0,2e-05
34.0,38.5,12.5,14.5,9.5,1.5,1.5,1.5,1.0,2.0,1.1e-12,19000.0,1e-05
42.5,47.5,36.5,31.0,21.5,2.0,2.0,0.5,0.5,1.0,1.6e-12,98500.0,1e-05
10.5,36.5,29.0,2.0,32.5,1.0,2.0,2.0,1.5,1.5,1e-13,90500.0,1e-05
5.5,14.5,3.0,31.0,25.5,0.5,2.0,2.0,1.0,1.5,1.1e-12,98500.0,1e-05
30.0,47.5,38.0,31.5,21.5,2.0,2.0,0.5,1.0,1.0,4e-13,98500.0,1e-05
42.5,8.0,40.5,37.5,49.5,2.0,1.0,0.5,1.5,1.5,1.5e-12,98000.0,1e-05
45.0,3.0,48.0,15.0,9.5,0.5,0.5,1.0,1.0,1.0,1.1e-12,35500.0,1e-05
21.5,12.0,13.5,17.5,41.0,1.0,1.5,1.5,1.0,2.0,1.8e-12,24500.0,1e-05
11.5,45.0,30.5,46.0,5.5,2.0,1.0,1.0,1.0,2.0,1.7e-12,74000.0,1e-05
10.0,39.0,28.0,39.0,13.5,1.5,0.5,0.5,0.5,1.0,1.3e-12,69000.0,2e-05
11.5,23.5,31.5,29.5,26.5,1.0,1.0,1.5,2.0,1.0,1.3e-12,28000.0,2e-05
46.0,20.5,7.0,42.5,42.0,1.0,1.5,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
48.0,5.5,27.5,13.5,13.0,1.5,1.0,2.0,1.5,1.5,1.1e-12,58000.0,1e-05
45.0,38.5,28.5,15.0,25.0,0.5,1.0,1.0,1.0,0.5,1.1e-12,35500.0,1e-05
11.5,10.0,10.0,16.0,46.5,1.0,1.0,1.5,1.0,1.0,8e-13,46000.0,2e-05
36.0,38.5,28.5,30.5,26.0,0.5,1.0,0.5,1.0,0.5,1.3e-12,32000.0,2e-05
41.0,17.5,34.0,38.0,13.0,0.5,0.5,0.5,0.5,1.5,9e-13,69000.0,2e-05
3.5,1.0,19.5,4.0,22.0,2.0,2.0,1.5,1.5,2.0,3e-13,30500.0,2e-05
37.0,38.5,9.0,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1.4e-12,68000.0,2e-05
13.0,4.5,7.5,7.5,8.5,0.5,1.5,1.0,1.0,2.0,1e-12,67000.0,1e-05
20.5,31.5,34.0,48.0,32.5,1.0,0.5,1.0,1.0,1.0,9e-13,37000.0,2e-05
18.5,7.0,26.0,32.0,17.0,0.5,1.0,1.0,0.5,0.5,1.8e-12,32000.0,2e-05
47.0,38.5,13.0,14.5,9.5,1.5,1.5,1.5,1.0,2.0,1.7e-12,19000.0,1e-05
28.0,22.5,47.5,33.5,10.5,0.5,0.5,2.0,0.5,2.0,1.4e-12,32000.0,1e-05
2.0,48.0,41.5,31.0,22.0,2.0,1.5,1.0,1.0,1.0,1.4e-12,78000.0,2e-05
10.5,2.5,8.0,26.5,17.0,1.5,1.5,1.0,1.0,1.0,1.7e-12,69000.0,2e-05
39.5,34.0,1.0,25.5,16.5,1.5,1.0,1.5,0.5,2.0,1.6e-12,34500.0,1e-05
49.5,47.0,36.5,31.0,17.5,2.0,2.0,0.5,1.0,2.0,1.8e-12,99000.0,2e-05
27.5,8.0,19.5,4.5,48.5,1.5,1.0,0.5,1.5,1.5,1.1e-12,77500.0,1e-05
34.0,38.0,32.0,14.5,45.0,1.5,1.5,1.5,1.0,2.0,1.1e-12,28000.0,1e-05
15.5,17.0,34.0,37.5,32.0,1.5,0.5,1.0,0.5,1.0,9e-13,89000.0,1e-05
34.0,38.5,27.0,39.0,17.0,1.5,1.5,1.0,0.5,1.5,1.3e-12,19000.0,2e-05
15.5,15.0,3.0,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1.3e-12,98500.0,2e-05
36.0,38.5,28.5,30.5,25.5,0.5,1.0,0.5,0.5,0.5,1.3e-12,32000.0,1e-05
10.5,4.5,7.5,21.5,13.0,0.5,1.5,0.5,0.5,1.0,1.1e-12,69000.0,2e-05
34.0,38.5,18.0,39.0,25.0,2.0,1.5,1.5,0.5,0.5,1.2e-12,19000.0,2e-05
36.0,3.0,9.5,39.0,9.5,1.5,0.5,0.5,0.5,1.0,1.9e-12,32000.0,1e-05
29.5,12.0,48.5,17.5,27.0,1.0,1.0,1.5,0.5,2.0,1.3e-12,99500.0,2e-05
35.0,23.5,32.0,29.5,45.0,0.5,1.0,2.0,2.0,1.0,1.3e-12,28000.0,1e-05
15.5,47.5,36.5,31.0,21.5,2.0,2.0,0.5,0.5,1.0,1.6e-12,98500.0,1e-05
47.5,48.0,41.0,31.0,17.5,1.0,1.5,1.0,1.0,1.5,1.4e-12,76500.0,2e-05
2.0,48.0,41.0,35.0,21.0,1.0,0.5,1.0,1.5,1.5,8e-13,28500.0,2e-05
9.5,3.0,29.0,37.0,19.0,0.5,0.5,1.0,0.5,1.0,7e-13,33000.0,1e-05
45.5,26.0,25.5,40.0,33.0,1.5,1.5,2.0,1.0,1.0,3e-13,58000.0,1e-05
15.5,14.5,27.0,37.5,39.5,1.5,0.5,1.0,0.5,1.5,1e-12,85000.0,1e-05
34.0,2.5,11.0,21.5,24.5,0.5,1.0,0.5,1.5,1.5,1.1e-12,46500.0,1e-05
34.0,45.0,30.0,46.0,5.5,1.0,0.5,1.0,1.0,1.0,9e-13,36000.0,1e-05
46.5,44.0,8.5,45.5,47.0,1.5,1.5,1.0,0.5,1.5,1.9e-12,64500.0,2e-05
6.5,33.5,26.5,39.0,26.5,1.0,1.5,1.5,2.0,1.5,4e-13,3500.0,2e-05
31.0,49.5,9.5,37.0,46.0,0.5,0.5,1.5,0.5,1.0,9e-13,81000.0,1e-05
41.0,2.0,19.0,7.5,21.5,2.0,2.0,1.0,0.5,1.0,3e-13,27000.0,1e-05
29.0,5.5,39.5,14.0,13.5,2.0,1.0,2.0,1.5,1.5,1.5e-12,58000.0,1e-05
35.0,23.5,12.5,29.5,9.5,0.5,1.0,2.0,2.0,1.0,1.3e-12,19000.0,1e-05
20.5,31.5,27.0,49.5,40.5,1.0,0.5,1.0,1.0,1.0,1e-12,33000.0,2e-05
18.5,7.0,26.0,32.0,25.0,0.5,1.0,1.5,1.5,0.5,1.8e-12,46500.0,1e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1e-12,32000.0,1e-05
12.0,22.0,14.0,48.5,33.0,1.0,1.5,2.0,0.5,1.0,1.9e-12,52500.0,2e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,1.0,0.5,1.9e-12,32000.0,2e-05
13.0,3.0,9.5,7.5,8.5,0.5,0.5,1.0,1.0,2.0,1e-12,67500.0,1e-05
45.5,38.5,25.5,40.0,25.0,1.5,1.5,1.5,0.5,0.5,1.3e-12,58500.0,2e-05
48.0,3.0,7.0,33.5,47.0,1.5,1.0,0.5,0.5,2.0,1.9e-12,32500.0,1e-05
18.5,7.0,26.0,32.0,25.0,1.5,1.5,1.5,1.5,0.5,1.7e-12,46500.0,1e-05
41.5,47.5,28.0,31.0,21.5,2.0,1.0,0.5,0.5,0.5,1.6e-12,98500.0,2e-05
15.5,15.0,3.0,17.5,44.0,1.5,1.0,2.0,0.5,2.0,1.8e-12,97500.0,1e-05
10.5,3.5,14.5,2.0,32.5,1.5,0.5,1.5,2.0,1.0,1e-12,93000.0,2e-05
10.5,48.0,41.5,31.0,34.5,1.0,2.0,1.5,1.0,1.5,1.4e-12,93000.0,2e-05
34.0,26.0,25.5,38.5,33.0,1.5,1.5,2.0,0.5,1.0,1.2e-12,19000.0,1e-05
46.5,2.5,8.0,26.5,13.0,2.0,1.0,1.0,1.0,1.0,1.7e-12,58000.0,2e-05
36.0,38.5,28.0,26.5,24.0,1.5,1.0,0.5,0.5,1.0,1.3e-12,32000.0,2e-05
9.5,39.5,9.5,39.0,25.0,0.5,0.5,1.0,0.5,1.0,7e-13,69000.0,1e-05
20.5,33.0,27.0,47.5,17.5,2.0,2.0,1.5,1.0,2.0,3e-13,33000.0,2e-05
46.5,44.0,9.0,33.5,47.0,1.5,1.5,1.0,2.0,2.0,1.3e-12,65000.0,1e-05
21.5,12.0,27.0,17.5,41.0,1.0,0.5,1.5,1.0,2.0,1e-12,24500.0,2e-05
36.0,38.5,28.5,39.0,33.0,1.5,1.5,2.0,0.5,0.5,1.3e-12,32000.0,2e-05
